season;team_api_id;player_id;overall_rating;potential;finishing;heading_accuracy;short_passing;dribbling;sprint_speed;balance;shot_power;jumping;stamina;strength;positioning;penalties;sliding_tackle
2013/2014;2182;189190;67.57143;75.14286;41.0;67.85714;64.14286;49.857143;68.14286;61.0;44.285713;74.0;76.0;71.71429;34.285713;36.0;68.85714
2013/2014;2182;74827;65.75;65.75;42.0;71.0;61.0;50.0;74.5;51.0;63.0;49.0;80.75;92.0;43.0;41.0;61.0
2013/2014;2182;13481;66.333336;70.333336;30.0;52.333332;68.0;44.0;75.0;71.0;39.0;80.0;75.0;71.0;33.0;69.0;68.333336
2013/2014;2182;266279;61.2;64.4;42.0;63.0;59.8;56.6;68.0;75.0;54.8;55.0;72.2;57.0;57.0;53.0;57.6
2013/2014;2182;7284;66.78571;68.92857;58.5;61.142857;67.5;62.714287;76.85714;63.0;62.0;48.92857;73.07143;65.0;73.07143;54.0;52.142857
2013/2014;2182;13449;66.55556;67.888885;57.22222;69.0;62.0;53.444443;67.0;61.0;61.22222;69.0;87.22222;75.0;64.0;72.0;60.0
2013/2014;2182;274156;68.6;74.066666;65.8;67.2;68.066666;72.73333;87.4;68.0;77.86667;85.0;76.13333;71.0;53.133335;71.0;33.0
2013/2014;2182;206694;69.46667;73.86667;71.86667;68.933334;65.0;73.0;75.4;58.0;69.13333;73.2;81.0;81.933334;65.86667;65.0;20.0
2013/2014;8028;206805;55.5;63.0;11.5;11.5;12.5;10.5;23.0;55.0;11.5;57.0;24.0;58.0;12.5;10.5;13.5
2013/2014;8028;69229;67.44444;67.44444;70.333336;75.0;53.77778;63.333332;66.888885;68.666664;69.888885;81.111115;64.0;82.666664;71.44444;81.0;38.0
2013/2014;8028;208315;64.6;70.8;45.0;49.0;55.0;58.0;67.2;65.0;63.0;80.0;71.0;71.0;52.0;50.0;56.0
2013/2014;8028;43135;61.0;64.0;31.0;52.0;44.0;46.0;33.0;56.0;54.0;64.0;75.0;75.0;44.0;45.0;67.0
2013/2014;8028;11061;63.0;63.0;44.0;64.0;48.0;41.0;69.0;34.0;47.0;42.0;74.0;87.0;33.0;42.0;63.0
2013/2014;8028;136540;60.0;62.5;43.0;51.0;51.0;55.0;63.0;66.0;68.0;72.0;79.0;71.0;52.0;42.0;59.0
2013/2014;8028;139779;62.0;63.0;61.0;47.0;61.0;71.0;70.0;77.0;74.0;42.0;70.0;48.0;63.0;58.0;30.0
2013/2014;8028;160845;60.333332;66.0;28.0;44.0;63.0;45.0;64.0;60.0;62.0;64.0;72.0;70.0;49.0;49.0;56.0
2013/2014;8028;107792;60.0;64.0;31.0;42.0;59.0;54.0;62.0;61.0;48.0;59.0;61.0;57.0;44.0;46.0;62.0
2013/2014;8028;68877;67.2;69.2;50.6;50.0;60.4;67.6;77.0;72.0;64.4;33.0;58.0;43.0;71.4;67.0;35.0
2013/2014;8028;289178;66.5;67.75;68.75;68.0;70.0;63.5;80.0;81.0;64.5;75.0;72.0;61.0;72.0;66.0;23.0
2013/2014;8028;277536;60.0;63.0;66.0;67.0;57.0;63.0;51.0;43.0;52.0;84.0;63.0;81.0;59.0;52.0;25.0
2013/2014;8033;69266;59.0;59.333332;32.0;64.0;58.0;42.0;64.0;63.0;37.0;71.0;70.0;71.0;55.0;39.0;60.0
2013/2014;8033;12310;57.0;57.0;50.0;59.0;60.0;56.0;55.0;62.0;59.0;52.0;68.0;61.0;56.0;61.0;52.0
2013/2014;8033;68744;62.0;62.0;25.0;74.0;49.0;41.0;34.0;50.0;41.0;71.0;61.0;78.0;46.0;66.0;52.0
2013/2014;8033;69374;62.0;62.0;28.0;64.0;44.0;37.0;43.0;33.0;60.0;51.0;64.0;93.0;54.0;48.0;63.0
2013/2014;8033;13329;59.333332;59.333332;54.0;64.666664;64.0;57.0;74.0;57.0;57.0;57.0;81.0;79.0;60.0;50.0;60.666668
2013/2014;8033;116756;61.2;66.2;66.6;54.0;51.0;66.4;78.0;79.0;67.0;77.0;63.0;59.0;44.0;64.0;51.0
2013/2014;8033;69276;62.25;62.25;42.25;35.0;58.0;66.0;70.0;86.0;59.0;80.0;70.0;57.0;42.0;51.0;67.0
2013/2014;8033;69328;54.333332;54.333332;45.666668;42.0;56.0;56.0;58.0;70.0;80.0;81.0;57.0;59.0;62.0;59.666668;32.0
2013/2014;8033;115253;58.0;62.0;54.0;49.0;65.666664;60.0;72.0;71.0;65.0;59.0;60.0;49.0;54.0;54.0;43.0
2013/2014;8033;306158;60.6;73.0;60.4;32.0;56.0;64.0;70.0;83.0;58.0;74.0;39.0;37.0;60.0;53.0;31.0
2013/2014;8033;13225;61.166668;62.833332;62.166668;68.333336;57.0;58.0;59.0;60.0;64.0;72.0;60.0;74.0;69.0;66.0;29.0
2013/2014;8024;13473;62.75;62.75;25.0;25.0;21.75;44.5;30.0;43.0;25.0;54.0;35.0;85.0;25.0;30.25;25.0
2013/2014;8024;432411;59.0;65.0;25.0;25.0;26.0;25.0;44.0;53.0;20.0;51.0;35.0;59.0;25.0;23.0;25.0
2013/2014;8024;278153;60.0;73.0;37.0;41.0;59.0;52.0;76.0;70.0;38.0;64.0;74.0;58.0;44.0;38.0;65.0
2013/2014;8024;94280;65.0;67.0;26.0;66.0;55.0;49.0;52.0;58.0;52.0;72.0;63.0;92.0;33.0;48.0;58.0
2013/2014;8024;291646;63.0;64.0;37.0;54.0;59.0;52.0;55.0;43.0;32.0;54.0;58.0;77.0;48.0;41.0;65.0
2013/2014;8024;169520;63.0;69.0;62.0;57.0;65.0;61.0;90.0;86.0;62.0;80.0;72.0;39.0;57.0;47.0;58.0
2013/2014;8024;363343;65.0;69.0;60.0;46.0;64.0;70.0;72.0;76.0;63.0;70.0;71.0;43.0;58.0;56.0;38.0
2013/2014;8024;206830;65.666664;77.333336;65.333336;51.0;61.0;78.666664;74.333336;73.666664;54.333332;66.333336;52.333332;48.0;57.0;54.666668;21.333334
2013/2014;8024;306631;59.0;68.0;64.0;63.0;45.0;69.0;79.0;91.75;61.0;71.0;62.0;29.0;57.0;68.0;25.0
2013/2014;8020;68740;58.5;58.5;25.0;25.0;24.0;25.0;21.0;40.0;22.0;48.0;43.0;51.0;25.0;21.0;25.0
2013/2014;8020;231638;55.0;60.0;51.0;45.0;53.0;63.0;66.0;68.0;56.0;55.0;50.0;58.0;50.0;51.0;23.0
2013/2014;8020;31019;64.0;64.0;27.0;45.0;60.0;63.0;74.55556;72.0;76.22222;74.666664;71.666664;69.888885;53.0;55.0;72.22222
2013/2014;8020;68962;66.333336;67.666664;21.0;56.0;52.0;50.0;63.0;72.0;55.0;91.0;59.0;74.0;56.0;43.0;68.333336
2013/2014;8020;212377;66.666664;72.333336;38.0;54.0;62.333332;63.666668;89.0;69.0;51.0;61.0;91.0;73.0;64.0;46.0;67.0
2013/2014;8020;69009;63.8;63.8;46.0;44.0;61.0;54.0;72.0;68.0;61.4;57.0;77.6;71.0;56.8;41.0;63.0
2013/2014;8020;30976;66.2;66.2;42.0;63.0;65.0;42.0;43.6;66.0;73.0;50.0;53.6;78.8;49.0;50.0;62.0
2013/2014;8020;115143;66.0;66.0;56.0;62.0;69.0;51.0;57.0;69.0;57.0;76.0;71.0;66.0;58.0;46.0;60.0
2013/2014;8020;254289;62.125;64.75;63.875;68.875;42.75;55.0;71.375;70.0;60.0;76.625;60.0;57.625;60.5;52.0;25.0
2013/2014;8020;107848;65.0;67.0;38.0;55.0;65.0;62.0;48.0;75.0;65.0;74.0;75.0;50.0;60.0;40.0;52.5
2013/2014;8020;95533;61.75;62.25;48.0;52.0;53.0;65.0;71.0;85.0;59.0;90.25;73.0;57.0;49.0;41.0;26.0
2013/2014;8020;93850;68.0;71.333336;67.0;58.0;54.0;74.0;90.0;75.0;66.0;85.0;73.0;78.0;84.0;57.0;30.0
2013/2014;8025;136539;66.0;69.0;25.0;25.0;23.0;25.0;29.0;40.0;25.0;47.0;20.0;40.0;25.0;25.0;25.0
2013/2014;8025;275992;49.5;56.5;36.0;43.0;65.0;48.5;68.0;60.0;53.0;55.0;51.0;62.0;42.0;47.0;43.0
2013/2014;8025;116871;63.25;67.75;43.0;46.0;46.0;55.0;84.0;70.0;45.0;76.0;61.0;61.0;48.0;41.0;74.0
2013/2014;8025;13554;63.75;64.75;40.0;53.0;53.0;44.0;60.0;90.0;42.0;75.0;72.0;64.0;50.0;41.0;71.25
2013/2014;8025;43317;63.333332;65.0;30.0;63.0;46.0;46.0;71.0;70.0;66.0;53.0;80.333336;80.0;29.0;43.0;51.0
2013/2014;8025;15608;59.0;59.0;43.0;54.0;45.0;66.0;70.0;47.0;77.0;71.0;72.0;84.0;49.0;36.0;71.0
2013/2014;8025;179310;71.0;73.333336;65.333336;55.0;53.333332;76.0;90.666664;83.0;71.666664;60.0;72.0;32.0;69.333336;52.666668;26.0
2013/2014;8025;172896;59.75;67.5;31.0;59.75;62.0;47.0;53.0;53.0;59.0;49.0;53.0;73.0;31.0;50.0;59.75
2013/2014;8025;30975;69.75;69.75;53.0;38.0;76.5;65.0;34.0;80.75;72.0;79.5;60.0;66.0;80.0;67.0;34.0
2013/2014;8025;40159;67.57143;67.57143;64.0;75.57143;66.0;60.0;70.57143;45.0;82.57143;58.0;77.85714;86.0;66.0;69.0;62.0
2013/2014;8025;115392;61.0;62.666668;60.333332;40.0;58.333332;64.0;88.0;69.0;62.0;44.0;70.0;57.0;57.333332;41.0;40.0
2013/2014;8025;179817;68.125;68.125;72.25;67.0;64.0;69.75;73.0;65.0;69.25;62.375;79.0;67.875;64.0;56.125;15.0
2013/2014;1957;206822;64.0;70.0;25.0;25.0;25.0;25.0;32.0;36.0;25.0;46.0;21.0;57.0;25.0;25.0;25.0
2013/2014;1957;34225;68.125;75.625;36.625;45.0;65.75;69.5;84.5;66.25;70.0;62.625;80.25;67.25;65.625;62.0;57.0
2013/2014;1957;50657;64.0;64.0;33.0;60.0;71.0;63.0;70.0;78.0;61.0;79.0;90.0;68.0;56.0;38.0;65.666664
2013/2014;1957;139775;63.0;66.0;40.0;64.0;58.0;60.0;73.0;43.0;60.0;80.0;75.0;79.0;40.0;51.0;57.0
2013/2014;1957;114816;65.333336;67.666664;34.0;65.0;64.0;61.0;34.333332;70.0;68.0;77.0;75.0;63.0;58.0;45.0;65.0
2013/2014;1957;432825;59.666668;67.0;40.0;38.0;51.0;64.0;70.0;64.0;38.0;61.0;72.0;70.0;41.0;35.0;63.0
2013/2014;1957;68762;65.0;66.0;38.0;51.0;62.0;52.0;74.0;69.0;61.0;71.0;75.0;64.0;56.0;45.0;69.0
2013/2014;1957;429893;66.8;69.0;69.0;39.0;73.8;76.2;72.0;80.0;59.0;73.0;59.4;41.4;49.8;42.0;45.0
2013/2014;1957;79241;63.0;63.0;35.0;55.0;63.0;57.0;71.0;77.0;67.0;76.0;73.0;71.0;63.0;51.0;72.0
2013/2014;1957;13538;66.0;70.0;66.0;46.0;69.0;73.0;91.0;75.0;65.0;77.0;75.0;58.0;63.0;71.0;25.0
2013/2014;1957;173385;57.0;57.0;64.0;61.0;44.0;61.0;69.0;57.0;54.0;60.0;59.0;78.0;44.0;65.0;25.0
2013/2014;8023;69382;66.0;67.0;25.0;25.0;36.0;25.0;25.0;30.0;26.0;47.0;25.0;65.0;25.0;25.0;25.0
2013/2014;8023;357348;53.8;65.0;46.0;40.0;54.0;57.2;71.6;81.0;60.0;52.0;49.8;38.0;53.0;58.0;28.0
2013/2014;8023;20118;68.0;68.125;64.0;40.0;67.0;68.625;72.0;73.0;58.0;66.25;65.5;52.0;64.0;53.0;42.5
2013/2014;8023;252972;62.0;69.0;57.0;51.0;57.333332;64.0;77.666664;82.0;61.333332;61.0;66.0;68.0;63.833332;41.0;33.0
2013/2014;8023;118822;65.2;65.9;41.9;66.0;51.0;54.3;54.0;54.0;54.0;80.0;71.0;86.0;24.0;44.6;62.8
2013/2014;8023;173993;63.333332;65.5;60.0;64.0;64.333336;64.0;79.0;64.0;59.0;73.0;82.166664;74.0;68.0;48.0;63.0
2013/2014;8023;238529;62.857143;68.0;28.0;61.285713;56.42857;52.57143;62.0;64.0;44.0;68.42857;61.0;71.0;44.57143;45.0;61.857143
2013/2014;8023;33804;63.333332;63.333332;60.0;34.0;64.0;61.333332;78.0;69.0;63.0;60.0;76.666664;60.0;56.0;64.0;53.0
2013/2014;8023;275726;61.75;68.0;50.0;54.875;65.25;64.5;82.0;69.25;57.5;50.0;66.25;64.0;47.0;57.0;60.25
2013/2014;8023;429880;64.2;68.0;60.6;44.0;65.0;65.6;75.0;78.0;50.0;61.0;66.4;45.0;59.4;55.0;34.1
2013/2014;8023;116885;63.857143;63.857143;57.0;51.0;62.0;59.0;68.0;61.0;78.0;38.0;71.0;74.0;45.0;53.0;63.285713
2013/2014;10265;181654;66.6;67.6;25.0;25.0;31.0;25.0;62.0;40.0;38.0;55.0;41.0;70.0;25.0;25.0;25.0
2013/2014;10265;312585;58.0;67.0;25.0;63.0;39.0;33.0;49.0;44.0;40.0;74.0;48.0;80.0;32.0;39.0;56.666668
2013/2014;10265;139895;65.0;68.0;42.0;47.0;58.0;59.0;76.0;61.0;51.0;72.0;68.0;82.0;55.0;52.0;74.0
2013/2014;10265;39070;68.333336;68.333336;39.0;68.0;60.0;60.0;37.666668;56.0;56.0;57.0;61.0;80.0;22.0;47.0;70.0
2013/2014;10265;198855;63.0;63.0;32.0;59.0;39.0;42.0;67.0;57.0;70.0;70.0;59.0;91.0;21.0;42.0;69.0
2013/2014;10265;72767;65.5;67.0;24.0;61.0;59.0;59.0;84.0;34.0;72.0;27.0;69.0;94.0;38.0;34.0;70.0
2013/2014;10265;38332;61.4;68.0;34.0;35.0;52.0;65.0;90.0;84.0;68.4;70.0;58.0;49.0;55.0;42.0;38.0
2013/2014;10265;39069;65.2;65.2;55.2;43.0;78.0;63.0;52.0;76.0;61.0;80.0;61.0;52.0;61.0;63.0;35.0
2013/2014;10265;128590;61.8;64.4;49.0;52.0;59.8;62.8;64.0;65.0;42.0;58.0;62.0;59.0;61.4;38.0;59.0
2013/2014;10265;68766;62.0;62.0;62.0;59.0;47.0;68.0;68.0;81.0;49.0;82.0;66.0;62.0;65.0;68.0;37.0
2013/2014;10265;488418;62.375;68.25;67.75;51.75;58.25;65.25;83.375;69.0;49.5;67.0;63.0;47.0;59.0;58.0;62.875
2013/2014;10265;30978;67.2;67.2;62.4;64.0;70.0;54.6;66.8;69.0;82.0;74.0;50.0;71.0;79.0;74.0;21.0
2013/2014;8023;69229;67.44444;67.44444;70.333336;75.0;53.77778;63.333332;66.888885;68.666664;69.888885;81.111115;64.0;82.666664;71.44444;81.0;38.0
2013/2014;8245;32633;59.0;59.0;16.0;16.0;35.0;13.0;23.0;36.0;13.0;59.0;29.0;57.0;12.0;17.0;14.0
2013/2014;8245;355101;52.0;61.0;38.0;43.0;65.0;52.0;70.0;34.0;51.0;65.0;41.0;61.0;38.0;45.0;57.0
2013/2014;8245;36641;65.0;65.0;49.0;63.0;65.0;65.0;69.0;67.0;74.0;70.0;76.0;71.0;48.0;62.0;64.0
2013/2014;8245;178435;62.0;68.666664;24.0;62.0;39.0;31.0;66.0;59.0;27.0;72.0;62.0;70.0;28.0;26.0;60.0
2013/2014;8245;12374;65.0;65.0;61.0;79.0;57.0;57.0;53.0;37.0;65.0;87.5;72.0;85.0;65.0;63.0;60.0
2013/2014;8245;13477;65.0;67.666664;47.0;50.0;55.0;62.0;79.0;68.0;65.0;65.0;79.0;81.0;51.0;33.0;70.0
2013/2014;8245;178424;62.0;66.0;55.0;53.0;65.0;58.0;32.0;44.0;62.0;50.0;91.0;77.0;41.0;54.0;46.0
2013/2014;8245;429657;52.57143;60.142857;39.0;48.857143;59.42857;48.857143;53.0;65.0;48.142857;58.0;64.0;73.0;41.0;39.0;48.714287
2013/2014;8245;147616;65.0;70.666664;67.0;64.0;67.0;75.0;72.0;72.0;65.0;50.0;56.0;70.0;53.0;56.0;39.0
2013/2014;8245;31325;66.8;67.2;68.0;57.0;72.2;58.0;65.0;52.0;77.4;59.0;72.0;71.0;68.0;58.0;41.0
2013/2014;8025;75579;65.0;65.0;25.0;25.0;28.0;25.0;24.0;30.0;22.0;54.0;30.0;44.0;25.0;31.0;25.0
2013/2014;8025;77778;65.0;66.2;41.0;62.0;57.0;66.0;79.0;69.0;59.0;73.0;76.0;65.0;53.0;56.0;64.0
2013/2014;8025;33967;64.25;67.0;64.0;66.75;72.0;61.25;63.0;61.0;67.5;70.0;69.5;70.5;54.5;63.0;57.0
2013/2014;8025;184098;61.8;61.8;62.0;65.0;46.0;68.0;79.0;55.0;63.0;56.0;57.8;77.0;61.0;66.0;56.0
2013/2014;1957;31437;65.0;65.5;25.0;60.0;39.0;25.0;82.0;64.0;47.0;87.0;81.0;86.0;25.0;25.0;57.0
2013/2014;1957;38727;64.5;66.5;24.0;60.0;59.0;61.0;72.0;59.0;41.0;61.0;76.0;72.0;45.0;43.0;62.0
2013/2014;1957;361714;59.666668;67.0;59.0;51.0;67.0;62.333332;55.0;83.0;56.0;34.0;73.0;50.0;58.0;57.0;60.0
2013/2014;1957;210015;65.666664;70.0;70.333336;73.166664;51.5;63.666668;68.666664;61.0;72.833336;66.5;73.5;75.0;62.333332;55.0;25.0
2013/2014;8027;93450;63.5;63.5;25.0;25.0;28.0;25.0;30.0;35.0;21.0;46.0;42.0;75.0;25.0;23.0;25.0
2013/2014;8027;522116;57.5;60.0;64.0;64.0;48.5;59.5;67.5;75.0;51.0;67.0;56.0;49.75;57.5;70.0;20.0
2013/2014;8027;433760;53.0;68.0;25.0;36.0;41.0;54.0;72.0;65.0;26.0;55.0;81.0;60.0;37.0;30.0;55.0
2013/2014;8027;245423;66.666664;71.0;21.0;72.0;46.0;34.0;55.0;52.0;41.0;68.0;62.0;80.0;24.0;44.0;64.0
2013/2014;8027;13513;60.5;60.5;41.0;68.0;57.5;38.0;34.0;60.0;67.0;54.0;55.0;70.0;43.0;58.0;56.0
2013/2014;8027;68827;60.8;60.8;62.0;53.0;62.0;57.8;77.0;71.0;69.0;72.0;71.0;65.0;62.0;48.0;47.2
2013/2014;8027;69417;60.0;60.0;35.0;43.0;68.0;62.0;60.0;66.0;57.0;64.0;61.0;63.0;52.0;69.0;54.0
2013/2014;8027;214977;61.6;68.0;52.8;57.2;67.6;60.0;72.6;67.0;63.4;71.0;64.0;65.6;59.6;53.0;53.0
2013/2014;8027;275771;62.0;64.2;63.4;59.0;57.4;64.0;81.0;58.0;55.0;55.0;70.0;64.6;58.0;40.0;33.0
2013/2014;8027;309348;65.5;71.75;62.75;53.25;69.0;66.875;70.0;74.0;65.5;58.0;60.0;54.0;59.0;58.0;44.0
2013/2014;8027;280976;69.333336;72.833336;66.666664;53.0;62.333332;71.333336;90.0;87.0;68.0;72.0;68.0;34.0;66.0;65.0;25.0
2013/2014;8027;26896;63.2;63.2;68.9;54.8;52.2;60.8;57.3;38.0;62.0;47.4;60.0;72.9;67.1;64.4;25.0
2013/2014;8028;309050;65.5;68.0;25.0;25.0;28.0;25.0;42.0;56.0;23.0;54.0;34.0;69.0;25.0;26.0;25.0
2013/2014;8028;78537;61.0;61.0;30.0;51.0;45.0;40.0;61.0;57.0;62.0;57.0;72.0;64.0;36.0;36.0;75.0
2013/2014;8028;463834;52.4;57.0;54.0;43.0;47.0;60.0;68.0;71.4;54.0;57.0;52.0;38.0;46.0;51.0;26.0
2013/2014;8028;208388;62.0;69.0;31.0;59.0;54.0;65.0;51.0;63.833332;33.0;67.0;72.0;80.0;44.0;40.0;60.0
2013/2014;8028;97496;66.75;72.25;65.75;69.75;66.25;66.5;73.0;67.0;69.25;69.0;71.0;62.0;67.25;73.0;29.0
2013/2014;8024;444186;57.0;63.0;27.0;44.0;57.0;52.0;68.0;38.0;50.0;52.0;65.0;77.0;20.0;38.0;53.0
2013/2014;8024;69227;61.0;61.0;43.0;48.0;58.0;60.0;58.0;90.0;67.0;82.0;75.0;56.0;54.0;58.0;53.0
2013/2014;8024;363334;55.333332;67.0;53.0;60.0;62.0;50.0;65.0;52.0;62.0;71.0;62.0;75.0;27.0;53.0;62.0
2013/2014;8024;173913;57.0;62.0;59.0;59.0;38.0;49.0;59.0;73.0;48.0;74.0;60.0;64.0;65.0;51.0;25.0
2013/2014;8024;131980;58.333332;63.333332;25.0;41.0;65.0;71.0;58.0;65.0;43.0;71.0;61.0;66.0;28.0;36.0;61.0
2013/2014;8024;168232;64.0;69.0;70.0;70.0;47.0;67.0;71.0;65.0;63.0;71.0;55.0;62.0;59.0;61.0;26.0
2013/2014;8245;429655;58.0;64.0;36.0;51.0;48.0;44.0;72.0;58.0;38.0;67.0;67.0;61.0;41.0;38.0;61.0
2013/2014;8245;69258;65.25;65.25;63.0;37.0;66.0;70.5;81.0;78.0;58.0;74.0;74.0;58.0;53.0;65.0;50.0
2013/2014;8245;414552;59.0;68.0;59.0;57.0;55.0;54.0;69.0;63.0;61.0;87.0;65.0;40.0;61.0;45.0;25.0
2013/2014;8021;114817;58.333332;64.666664;25.0;25.0;25.0;25.0;24.0;31.666666;28.0;43.333332;24.0;62.0;25.0;25.0;25.0
2013/2014;8021;49269;60.0;65.0;52.0;45.0;57.0;65.0;67.0;77.0;60.0;66.0;62.0;49.0;48.0;48.0;21.0
2013/2014;8021;98027;62.333332;64.333336;21.0;62.666668;59.0;50.0;66.0;70.0;45.0;61.333332;73.0;67.0;32.0;38.0;65.0
2013/2014;8021;68840;64.5;64.666664;45.0;70.333336;44.0;54.0;59.0;62.0;61.0;63.166668;74.0;80.0;72.333336;65.0;63.333332
2013/2014;8021;72479;66.25;66.25;20.0;65.5;62.0;45.0;72.0;61.0;28.5;70.0;71.0;74.0;58.25;31.0;66.75
2013/2014;8021;163618;64.71429;64.71429;26.0;62.0;44.0;40.857143;67.0;62.0;71.0;60.0;83.0;79.0;50.0;34.0;64.42857
2013/2014;8021;69485;66.0;66.0;65.0;44.0;75.0;65.0;63.0;73.0;69.0;73.666664;90.666664;63.0;44.0;63.0;51.666668
2013/2014;8021;98242;58.0;60.0;28.0;69.0;40.0;32.0;72.0;46.0;41.0;65.5;58.0;74.0;33.0;34.0;60.0
2013/2014;8021;46454;60.75;63.25;52.75;33.0;48.0;58.75;90.75;86.0;65.5;91.0;78.5;68.5;60.0;55.0;28.0
2013/2014;8021;68839;65.0;65.0;64.25;54.0;64.75;62.75;66.0;79.0;67.0;80.5;70.0;73.0;63.0;63.0;66.25
2013/2014;8021;208814;65.4;69.2;60.8;42.0;60.0;62.8;93.0;86.0;54.0;93.0;64.0;47.0;50.0;43.0;37.0
2013/2014;8021;196185;70.0;70.0;70.0;68.0;62.0;71.0;90.0;84.0;61.0;84.5;86.0;75.0;76.0;68.0;29.0
2013/2014;8673;13390;60.8;62.0;25.0;25.0;20.0;25.0;34.0;42.0;20.0;52.0;43.0;63.0;25.0;20.0;25.0
2013/2014;8673;12473;63.0;63.0;23.0;64.0;66.0;36.0;77.0;60.0;55.0;70.0;72.0;73.0;36.0;39.0;64.0
2013/2014;8673;68937;65.666664;67.0;56.0;61.0;61.0;56.666668;72.0;70.0;68.0;73.0;77.0;64.0;58.0;67.0;64.0
2013/2014;8673;13376;66.75;71.0;41.5;62.25;53.0;50.0;79.0;64.0;57.0;61.0;93.0;76.0;63.0;34.0;69.0
2013/2014;8673;69030;65.8;66.0;40.0;66.8;47.0;42.0;72.0;55.0;48.0;73.4;55.0;86.0;36.0;44.0;61.4
2013/2014;8673;13551;66.25;66.25;52.0;49.5;64.5;61.375;72.875;83.75;77.5;76.875;83.75;66.25;56.875;55.0;55.0
2013/2014;8673;206795;66.833336;77.0;54.666668;62.0;65.666664;65.333336;71.0;71.0;72.0;58.0;72.0;60.0;73.0;50.666668;64.166664
2013/2014;8673;69244;67.0;70.8;32.8;69.9;63.7;59.4;53.0;41.0;68.9;54.4;81.0;85.4;42.0;54.0;66.8
2013/2014;8673;212896;67.333336;74.55556;66.22222;60.22222;66.22222;73.55556;85.44444;71.0;70.22222;77.0;84.333336;68.333336;64.77778;56.0;25.0
2013/2014;8673;277935;67.0;74.0;28.0;49.0;64.0;64.0;58.0;71.0;56.0;55.0;73.0;71.0;62.0;44.0;60.0
2013/2014;8673;189111;65.22222;70.111115;62.11111;54.88889;58.555557;68.44444;76.77778;63.0;64.888885;57.0;56.0;75.0;67.111115;66.0;42.444443
2013/2014;8673;14658;67.333336;70.166664;67.5;70.666664;62.0;60.833332;73.333336;71.0;71.0;46.0;78.833336;83.5;66.0;65.0;25.0
2013/2014;2186;13436;62.0;62.0;25.0;25.0;34.0;25.0;56.0;62.0;22.0;54.0;35.0;81.0;25.0;20.0;25.0
2013/2014;2186;71063;62.0;71.0;27.0;40.0;64.0;59.0;76.0;79.0;81.0;77.0;72.0;60.0;40.0;39.0;66.0
2013/2014;2186;33807;61.666668;61.666668;60.0;68.0;66.666664;58.666668;69.333336;53.0;66.0;51.333332;53.0;61.0;52.0;54.0;65.0
2013/2014;2186;140932;62.2;63.0;21.0;41.0;59.0;56.0;49.0;45.0;78.0;45.0;52.0;84.0;26.0;30.0;61.6
2013/2014;2186;13504;59.0;59.5;47.0;41.0;53.0;54.0;67.0;41.0;41.0;56.0;57.0;75.0;44.0;62.0;54.0
2013/2014;2186;69518;61.5;64.0;47.0;59.0;60.0;33.0;60.0;62.0;77.0;65.0;71.0;65.0;39.0;46.0;68.0
2013/2014;2186;196238;59.333332;64.0;44.0;57.0;60.666668;57.333332;65.0;87.0;69.0;89.0;65.0;59.0;55.333332;46.666668;61.0
2013/2014;2186;39400;59.0;61.0;43.0;42.0;58.666668;68.333336;76.0;76.0;55.0;83.0;64.0;66.0;60.666668;54.0;42.0
2013/2014;2186;45473;63.8;66.0;50.2;41.0;61.0;69.0;87.2;88.0;65.0;90.0;58.0;36.0;59.2;59.0;34.0
2013/2014;2186;150809;64.0;70.0;41.0;60.0;66.0;71.0;53.0;82.0;68.0;51.0;70.0;76.0;52.0;43.0;56.0
2013/2014;2186;299021;61.0;69.0;63.333332;61.0;68.666664;75.0;69.666664;61.0;57.666668;60.0;41.0;61.0;57.333332;43.0;44.0
2013/2014;2186;68773;66.0;66.0;68.2;67.0;51.0;58.0;82.0;77.0;69.0;81.0;79.0;69.0;62.4;73.0;25.0
2013/2014;8020;107001;60.75;61.25;25.0;25.0;31.0;25.0;35.0;38.0;26.0;47.0;39.0;49.0;25.0;30.0;25.0
2013/2014;8020;80184;67.0;68.666664;24.0;68.666664;53.0;27.0;65.0;59.0;61.0;78.0;73.0;80.0;33.0;31.0;64.666664
2013/2014;8020;13334;65.8;65.8;57.0;41.0;63.4;63.8;78.0;76.0;64.4;79.0;68.2;60.8;64.0;61.0;43.6
2013/2014;8020;73357;61.0;66.0;51.0;40.0;64.0;72.0;66.0;68.0;62.0;62.0;60.0;55.0;56.0;63.0;31.0
2013/2014;8030;210978;65.0;65.0;53.0;48.0;65.0;63.25;80.0;79.0;58.75;75.0;88.0;66.0;53.0;50.0;64.0
2013/2014;8030;115585;63.0;70.0;60.0;54.0;46.0;69.0;68.0;65.0;68.0;81.0;42.0;79.0;63.0;59.0;24.0
2013/2014;8030;69553;65.0;66.0;35.0;64.0;64.0;41.0;34.0;51.0;38.0;51.0;75.0;78.0;43.0;48.0;59.0
2013/2014;8030;13474;66.0;66.0;52.0;74.0;55.0;37.0;40.0;62.0;46.0;47.0;60.0;82.0;25.0;62.0;63.0
2013/2014;8030;237620;59.5;64.0;23.0;55.0;54.0;47.0;54.0;56.0;53.0;64.0;58.0;76.0;39.0;49.0;61.5
2013/2014;8030;69061;64.6;64.6;58.0;51.0;64.0;69.4;74.4;77.2;62.0;74.0;73.0;57.0;68.0;65.0;40.0
